"","PARID","saledate","date2","price","saleyr","SALETYPE","SALEVAL","presale","postsale","value","adj_price","lnadj_price"
"981","08E120365",2024-05-13,"05-2024",129000,2024,"2","5",2023,2025,313.14,130838.561027017,11.7817194836326
"982","08E120640",2024-04-29,"04-2024",170000,2024,"2","X",2023,2025,313.016,172491.214506607,12.0581015837601
"983","08E130353",2024-04-05,"04-2024",111663,2024,"2","5",2023,2025,313.016,113299.33226736,11.6377885535068
"984","08E130403",2024-03-26,"03-2024",144000,2024,"2","I",2023,2025,312.107,146535.74575386,11.8950246759964
"985","08E130650",2024-07-03,"07-2024",135000,2024,"2","X",2023,2025,313.566,136738.055146285,11.8258223683616
"986","08E130861",2024-05-01,"05-2024",210000,2024,"2","X",2023,2025,313.14,212993.00632305,12.2690146099884
"987","08E130908",2024-07-02,"07-2024",225000,2024,"2","X",2023,2025,313.566,227896.758577142,12.3366479921275
"988","08E140606",2024-09-16,"09-2024",82500,2024,"2","I",2023,2025,314.851,83221.102997926,11.3292562364497
"989","08E220502",2024-03-04,"03-2024",8000,2024,"2","I",2023,2025,312.107,8140.87476410334,9.00465291810021
"990","08E221026",2024-04-17,"04-2024",65000,2024,"2","I",2023,2025,313.016,65952.5231937026,11.0966904166054
"991","08E221565",2024-09-13,"09-2024",105000,2024,"2","X",2023,2025,314.851,105917.767451906,11.5704182932665
"992","08E240386",2024-04-17,"04-2024",131400,2024,"2","X",2023,2025,313.016,133325.562271577,11.8005492527603
"993","08E310391",2024-05-23,"05-2024",120000,2024,"2","X",2023,2025,313.14,121710.289327457,11.709398822053
"994","08E310511",2024-05-02,"05-2024",87800,2024,"2","I",2023,2025,313.14,89051.3616912563,11.396968579912
"995","08E310511",2024-08-27,"08-2024",87500,2024,"2","X",2023,2025,314.131,88467.1124467181,11.3903861511601
"996","08E310786",2024-05-21,"05-2024",37000,2024,"2","I",2023,2025,313.14,37527.3392092994,10.5328249919152
"997","08E310812",2024-10-03,"10-2024",115000,2024,"2","X",2023,2025,315.564,115743.066382731,11.6591280684932
